,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
Соотношение матрица-наполнитель,,-0.07200553419194677,-0.09169231158120539,-0.08184892288657697
"Плотность, кг/м3",,-0.09609554619626048,-0.1003094296569087,-0.0982024879265847
"модуль упругости, ГПа",,-0.06885864073192383,-0.036119711691497525,-0.052489176211711897
"Количество отвердителя, м.%",,-0.03966849105102188,-0.12491314043525059,-0.0822908157431369
"Содержание эпоксидных групп,%_2",,-0.04031957245654372,-0.10499280557547142,-0.07265618901600879
"Температура вспышки, С_2",,-0.04661335937658939,-0.08604207174885037,-0.06632771556272055
"Поверхностная плотность, г/м2",,-0.05583701262148444,-0.00015549212539078816,-0.02799625237343828
"Модуль упругости при растяжении, ГПа",,-0.07092039851607712,0.008427677750657225,-0.031246360382710225
"Прочность при растяжении, МПа",,-0.09945946679145723,-0.07081640884330853,-0.08513793781738355
"Потребление смолы, г/м2",,-0.06364998948774803,-0.13156761768004133,-0.09760880358389501
Шаг нашивки,,0.0008070696589281834,-0.06600708997341531,-0.0326000101572444
"Соотношение матрица-наполнитель-Плотность, кг/м3",,-0.07905891608510163,-0.02113179800782161,-0.050095357046462397
"Соотношение матрица-наполнитель-модуль упругости, ГПа",,-0.0401025453213697,-0.026149837693585365,-0.03312619150747809
"Соотношение матрица-наполнитель-Количество отвердителя, м.%",,-0.05496890408078836,-0.045453769238200215,-0.050211336659495176
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2",,-0.07233107489470791,-0.055011349005607446,-0.06367121195015835
"Соотношение матрица-наполнитель-Температура вспышки, С_2",,-0.11508542052398485,-0.06976955626472736,-0.09242748839435688
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2",,-0.015686992614295292,-0.08254991362181618,-0.04911845311805607
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа",,-0.03652159759099893,-0.12000622613433465,-0.07826391186266746
"Соотношение матрица-наполнитель-Прочность при растяжении, МПа",,-0.12647934512061942,-0.11613091199189718,-0.12130512855625875
"Соотношение матрица-наполнитель-Потребление смолы, г/м2",,-0.0952274376555644,-0.08373970027840638,-0.08948356896698528
Соотношение матрица-наполнитель-Шаг нашивки,,-0.03435132623925874,-0.08493503794455992,-0.05964318209190966
"Плотность, кг/м3-модуль упругости, ГПа",,-0.03912592321308672,-0.044169261623115075,-0.04164759241810201
"Плотность, кг/м3-Количество отвердителя, м.%",,-0.10217230598113236,-0.12113655749690366,-0.11165443173901823
"Плотность, кг/м3-Содержание эпоксидных групп,%_2",,-0.028383080021973983,-0.05289079685986353,-0.040636938440919756
"Плотность, кг/м3-Температура вспышки, С_2",,-0.037932273969629726,-0.07819932315829736,-0.0580657985639641
"Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.019050913209492037,-0.013323276621971303,-0.01618709491573278
"Плотность, кг/м3-Модуль упругости при растяжении, ГПа",,-0.09490189695280327,-0.0718696412857085,-0.08338576911925666
"Плотность, кг/м3-Прочность при растяжении, МПа",,-0.038474841807564886,-0.08098379355955831,-0.05972931768356238
"Плотность, кг/м3-Потребление смолы, г/м2",,-0.07081188494849,-0.07911169921490457,-0.07496179208169818
"Плотность, кг/м3-Шаг нашивки",,-0.007548475045270342,-0.05838101503998505,-0.03296474504262892
"модуль упругости, ГПа-Количество отвердителя, м.%",,-0.0924060848983026,-0.052382858925595466,-0.07239447191194981
