,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
Соотношение матрица-наполнитель,,-0.012273089966451822,-0.027287196606725628,-0.01978014328658817
"Плотность, кг/м3",,-0.0021399298535023092,-0.01818186792786003,-0.010160898890680836
"модуль упругости, ГПа",,-0.0022773081279854335,-0.03949952526299638,-0.02088841669549102
"Количество отвердителя, м.%",,-0.019196818538372185,-0.010597006692708577,-0.014896912615540159
"Содержание эпоксидных групп,%_2",,0.0011159423767534982,-0.02409065161025503,-0.011487354616750434
"Температура вспышки, С_2",,-0.013040197433096035,-0.026259986502502386,-0.01965009196779932
"Поверхностная плотность, г/м2",,-0.0037095277512393388,-0.025141815269466905,-0.0144256715103529
"Потребление смолы, г/м2",,0.003574636025799216,-0.02224424936542868,-0.009334806669814899
Шаг нашивки,,-0.0002523868076307334,-0.027813188654329357,-0.014032787730979823
"Угол нашивки, град",,-0.0004174619327803608,-0.02392037804765823,-0.012168919990219074
Плотность нашивки,,-0.0014275509950902876,-0.02392495060809674,-0.012676250801593514
"Соотношение матрица-наполнитель-Плотность, кг/м3",,-0.012894415409852034,-0.021418961969672745,-0.0171566886897625
"Соотношение матрица-наполнитель-модуль упругости, ГПа",,-0.01242534274000806,-0.044207375480618705,-0.028316359110313494
"Соотношение матрица-наполнитель-Количество отвердителя, м.%",,-0.029003541813455103,-0.013952186602171901,-0.021477864207813835
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2",,-0.009652161983763063,-0.02728720237258897,-0.018469682178175906
"Соотношение матрица-наполнитель-Температура вспышки, С_2",,-0.025065593706610212,-0.030055524155334856,-0.0275605589309722
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2",,-0.014184716042006995,-0.028286935668879742,-0.021235825855443258
"Соотношение матрица-наполнитель-Потребление смолы, г/м2",,-0.006940698183829586,-0.02579093674527755,-0.016365817464553456
Соотношение матрица-наполнитель-Шаг нашивки,,-0.010853326200356728,-0.031498846440676465,-0.021176086320516374
"Соотношение матрица-наполнитель-Угол нашивки, град",,-0.01126806244908063,-0.027141924985923938,-0.01920499371750195
Соотношение матрица-наполнитель-Плотность нашивки,,-0.012208089219400087,-0.026998409448348415,-0.019603249333874584
"Плотность, кг/м3-модуль упругости, ГПа",,-0.0028133799491842915,-0.03288942343315315,-0.017851401691168833
"Плотность, кг/м3-Количество отвердителя, м.%",,-0.019834997943123378,-0.0038072930296564333,-0.011821145486390239
"Плотность, кг/м3-Содержание эпоксидных групп,%_2",,0.00039895541312617855,-0.018104620876349786,-0.008852832731611637
"Плотность, кг/м3-Температура вспышки, С_2",,-0.014271661844278638,-0.019505972689017437,-0.01688881726664815
"Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.004397242362383036,-0.019153049664723643,-0.011775146013553117
"Плотность, кг/м3-Потребление смолы, г/м2",,0.0028506193399997493,-0.016554986317542042,-0.006852183488770813
"Плотность, кг/м3-Шаг нашивки",,-0.0009823871189358346,-0.022795712736097595,-0.011889049927516715
"Плотность, кг/м3-Угол нашивки, град",,-0.001190604728701361,-0.01865250769026927,-0.009921556209484761
"Плотность, кг/м3-Плотность нашивки",,-0.0020117480350465566,-0.017781787660907433,-0.009896767847976995
"модуль упругости, ГПа-Количество отвердителя, м.%",,-0.020000888401906947,-0.025585211534354668,-0.022793049968130363
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,5.24842500135847e-05,-0.03906071632074726,-0.01950411603536667
"модуль упругости, ГПа-Температура вспышки, С_2",,-0.013483272332844631,-0.042399203798374474,-0.02794123806560911
"модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.004547224059071597,-0.04049051438376594,-0.022518869221418658
"модуль упругости, ГПа-Потребление смолы, г/м2",,0.0028057152394669327,-0.037774238424602036,-0.017484261592567885
"модуль упругости, ГПа-Шаг нашивки",,-0.0009298639365593608,-0.041627154102802155,-0.021278509019680647
"модуль упругости, ГПа-Угол нашивки, град",,-0.0011314574124812182,-0.039340610996799974,-0.020236034204640596
