,Шаг нашивки
"Угол нашивки, град",-0.009557212900540346
Плотность нашивки,-0.008326944646161794
"Содержание эпоксидных групп,%_2",-0.011304330686791486
"Количество отвердителя, м.%",-0.012734763612005873
"Потребление смолы, г/м2",-0.008463092757169832
Соотношение матрица-наполнитель,-0.006915172375333345
"Модуль упругости при растяжении, ГПа",-0.006436653618111743
"модуль упругости, ГПа",-0.01950879647781556
"Плотность, кг/м3",-0.01743825896992046
"Поверхностная плотность, г/м2",-0.00513447556101454
"Прочность при растяжении, МПа",-0.018826058688087954
"Температура вспышки, С_2",-0.009560182815169682
"Угол нашивки, град///Плотность нашивки",-0.009576380667995599
"Угол нашивки, град///Содержание эпоксидных групп,%_2",-0.012636251336766602
"Угол нашивки, град///Количество отвердителя, м.%",-0.01419271815948453
"Угол нашивки, град///Потребление смолы, г/м2",-0.00973573451507459
"Угол нашивки, град///Соотношение матрица-наполнитель",-0.008004678394576192
"Угол нашивки, град///Модуль упругости при растяжении, ГПа",-0.007604087378743296
"Угол нашивки, град///модуль упругости, ГПа",-0.020945853637939438
"Угол нашивки, град///Плотность, кг/м3",-0.0190272460776697
"Угол нашивки, град///Поверхностная плотность, г/м2",-0.006608231023510713
"Угол нашивки, град///Прочность при растяжении, МПа",-0.02025459210588587
"Угол нашивки, град///Температура вспышки, С_2",-0.010853876357462378
"Плотность нашивки///Содержание эпоксидных групп,%_2",-0.011417891741620334
"Плотность нашивки///Количество отвердителя, м.%",-0.01288974504455842
"Плотность нашивки///Потребление смолы, г/м2",-0.008569304079403706
Плотность нашивки///Соотношение матрица-наполнитель,-0.007053011548570964
"Плотность нашивки///Модуль упругости при растяжении, ГПа",-0.006505581702742624
"Плотность нашивки///модуль упругости, ГПа",-0.01950263339008962
"Плотность нашивки///Плотность, кг/м3",-0.017299545646679126
"Плотность нашивки///Поверхностная плотность, г/м2",-0.0052060177186148415
"Плотность нашивки///Прочность при растяжении, МПа",-0.018839513803618813
"Плотность нашивки///Температура вспышки, С_2",-0.009623136031059243
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%",-0.015642983650240083
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2",-0.011489069900636917
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель",-0.009991467773212914
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа",-0.00947162734809881
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа",-0.022889476833044098
"Содержание эпоксидных групп,%_2///Плотность, кг/м3",-0.020098687321840725
"Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2",-0.008074379344781946
"Содержание эпоксидных групп,%_2///Прочность при растяжении, МПа",-0.02224490382790556
"Содержание эпоксидных групп,%_2///Температура вспышки, С_2",-0.012681475306112633
"Количество отвердителя, м.%///Потребление смолы, г/м2",-0.012760239848083055
"Количество отвердителя, м.%///Соотношение матрица-наполнитель",-0.01122357617291847
"Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа",-0.010981293812849069
"Количество отвердителя, м.%///модуль упругости, ГПа",-0.02400484246675627
"Количество отвердителя, м.%///Плотность, кг/м3",-0.02218509595301943
"Количество отвердителя, м.%///Поверхностная плотность, г/м2",-0.00966033413488443
